description,domain,sub_domain
"Nephrology is the study of kidney function, the pathology of kidney stones and ureters, and the synthesis of medicines.",Medical,Nephrology
"Emergency Medicine is the medical profession of medicine that focuses on the prevention, treatment and management of disease, including the prevention and treatment of emergency situations.",Medical,Emergency Medicine
"Oncology is the study of cancer, or the disease of the individual's skin.",Medical,Oncology
Hematology in the Medical domain is the study of abnormalities and disorders in the human body.,Medical,Hematology
Pathology is the study of pathological abnormalities of tissues and organs.,Medical,Pathology
The atypical disease of cancer and its treatment is considered to be a very serious medical problem.,Medical,Oncology
Nephrology is the study of kidney function.,Medical,Nephrology
Pediatrics is the medical discipline of medicine.,Medical,Pediatrics
Pathology is the study of disease. Pathology is the field of medicine.,Medical,Pathology
Endocrinology is the study of how an organism's endocrinogenetic system functions.,Medical,Endocrinology
"Hematology is the study of a particular organ system, which is located in the central nervous system (CNS).",Medical,Hematology
"Reproductive Medicine is a medical discipline that includes sexual reproduction, cell division, and embryonic development.",Medical,Reproductive Medicine
"Radiology is the study of the physical, chemical, and biological properties of materials or materials in the general field of medicine.",Medical,Radiology
General Surgery is the medical sub-discipline of medicine.,Medical,General Surgery
Cardiology is a field of medicine that deals with the cardiovascular system.,Medical,Cardiology
Plastic Surgery: The Surgery of the Neck,Medical,Plastic Surgery
Endocrinology is the study of a single molecule of endogenous protein that is encoded by the gene fhni1 a.,Medical,Endocrinology
Nephrology in the Medical domain is the study of kidney disease and related disorders.,Medical,Nephrology
"Hematology (medicine) is the study of how blood cells are processed, metabolized, or transported by the body.",Medical,Hematology
"Cardiology in the Medical domain is a field in medicine where cardiology plays a central role in the management of cardiovascular disease and disease, and in the prevention, treatment, treatment and prevention of heart failure.",Medical,Cardiology
"Anesthesiology is the study of a specific part of a body of tissues. It refers to a subset of the medical discipline that deals with specific organs, including the gastrointestinal system and nervous system.",Medical,Anesthesiology
"Anesthesiology is a medical discipline with its focus on the diagnosis and treatment of diseases and disorders. It includes most acute, chronic and metastatic conditions.",Medical,Anesthesiology
"Dermatology is the study of the cutaneous and dermis function of the skin. Dermatologists specialize in the treatment of the skin's cutaneous conditions, such as dry skin, ageing, wrinkles, and cell death.",Medical,Dermatology
"Nephrology is the medical field of kidney disease. Nephrology involves the diagnosis and treatment of kidney failure, renal thrombosis, kidney stones, or any other problem that requires a kidney transplant.",Medical,Nephrology
"The nephrology of kidneys is a branch of medicine in the medical field, primarily that of renal cells.",Medical,Nephrology
Radiology is a subfield of medicine that deals with the treatment and prevention of diseases and disorders in health.,Medical,Radiology
"Anesthesiology is the study of the anatomy of the body. Anesthesiologists focus on the physical examination of the skin, and on blood and ovulation.",Medical,Anesthesiology
Nephrology is a subfield of medicine in which kidney function is determined.,Medical,Nephrology
Orthopedics is a branch of medicine that includes the treatment of injuries to the body and the prevention of diseases.,Medical,Orthopedics
Cardiology is a branch of medicine in which cardiology is a branch of the medical science.,Medical,Cardiology
"Dermatology is a medical specialty of the Medical World. Dermatology is a field that encompasses the study and treatment of cutaneous diseases, skin disorders, skin diseases, and disease of the genus ""Daith"".",Medical,Dermatology
Pediatrics is the study of the role of the immune system in cellular and molecular processes.,Medical,Pediatrics
Oncology is a discipline of medicine that deals with the study and treatment of cancer.,Medical,Oncology
"Nephrology is the practice of medicine and medicine in general, in particular in a medical field involving the treatment of kidney diseases.",Medical,Nephrology
The Medical Association of Canada's emergency medicine specialty is a sub-category of medical specialties in the United States.,Medical,Emergency Medicine
Endocrinology is the study of the regulation of endocrinogens in the human body.,Medical,Endocrinology
"Hematology in the Medical domain is the study of a disease or condition in the body, especially in the hematological or oocyte-derived form.",Medical,Hematology
Cardiology is the scientific discipline of medicine in which the cardiovascular system is the primary system in which all organs are vascularized.,Medical,Cardiology
Cardiology is the study of heart and circulatory systems.,Medical,Cardiology
Hematology in the Medical domain is a discipline of medicine that studies and diagnoses diseases related to the immune system.,Medical,Hematology
The National Medical Council of Canada (NMC) recognized emergency medicine in 2001 as an emerging field in the field of healthcare.,Medical,Emergency Medicine
Pediatrics is a branch of medicine in the United States.,Medical,Pediatrics
"Oncology is a branch of medicine that specializes in cancer prevention, detection and treatment.",Medical,Oncology
"AIDS: the biological and clinical basis of a disease, with its physical, chemical, and pharmacological properties.",Medical,Infectious Diseases
Neurology is the study of mental and physical conditions that affect behavior and emotional quality.,Medical,Neurology
Neurology in the Medical domain.,Medical,Neurology
Emergency medicine in the medical domain includes:,Medical,Emergency Medicine
Plastic Surgery is a medical profession that deals with the surgical management of cosmetic and reconstructive plastic surgery.,Medical,Plastic Surgery
"Infectious Diseases in the Medical Domain (or simply IUDN) is the broadest medical discipline in which all viruses, viruses, bacteria, and parasites are found.",Medical,Infectious Diseases
"The term radiology refers to the study of radiology, and it is also known as the science of radiation, or ""the field of radiation"".",Medical,Radiology
"Orthopedics is the practice of treating physical injuries arising from a variety of medical conditions, including fractures, cuts, burns and broken bones.",Medical,Orthopedics
Dermatology is the medical field of medicine encompassing all aspects of dermatology.,Medical,Dermatology
"Orthopedics in the Medical domain is the scientific field of medicine and surgery, particularly in medicine. It focuses on the treatment of patients whose joints are damaged by the physical force of gravity. It primarily deals with a variety of sports and medical treatments.",Medical,Orthopedics
Dermatology is the medical field of medicine.,Medical,Dermatology
Anesthesiology is the study of the condition of an organism's nervous system.,Medical,Anesthesiology
Reproductive medicine in the medical domain focuses on reproductive medicine.,Medical,Reproductive Medicine
"The practice of internal medicine is to treat the physical symptoms of a disease, characterized by abnormalities in the heart, abdominal, and pelvic organs.",Medical,Internal Medicine
"General surgery is an area of medicine devoted to the diagnosis, treatment and prevention of a variety of diseases and conditions that cause serious health problems and disabilities.",Medical,General Surgery
"Oncology is a scientific discipline in which the diagnosis, treatment, and prevention of disease are considered to be an essential component of the scientific discipline.",Medical,Oncology
"Hematology is a broad field in medicine, mainly in the United States, and in Europe. It has a variety of treatment and clinical applications, including cancer prevention and treatment of acute respiratory syndrome.",Medical,Hematology
"Pediatrics is a medical discipline in which the study of children, adolescents, and adults is concerned.",Medical,Pediatrics
Pathology involves the study of a body of the immune system to find the pathogenic material in the blood.,Medical,Pathology
"A Neurology / Neurosciences is the medical field of science that deals with the medical and clinical aspects of disease, including the diagnosis and treatment of diseases, disorders, and abnormalities. Neurological disorders refer to a variety of disorders that affect the nervous system and the brain.",Medical,Neurology
General Surgery () is the term used in a medical specialty to refer to a variety of surgical procedures.,Medical,General Surgery
Nephrology is a medical discipline that includes all the following fields:,Medical,Nephrology
"Orthopedics in the Medical Domain is an important part of the medical field, and has a great deal to do with it. It is important that it is practiced and taught in a centralized manner, and that the focus is on the proper use of the right kind of medical equipment and equipment.",Medical,Orthopedics
Infectious Diseases in the Medical domain.,Medical,Infectious Diseases
Reproductive Medicine is a medical specialty in the medical field.,Medical,Reproductive Medicine
"Internal medicine is a medical discipline, which consists of:",Medical,Internal Medicine
ED is the umbrella term for the medical specialty of emergency medicine.,Medical,Emergency Medicine
Anesthesiology is a medical specialty in which many different kinds of Anesthesia are considered to be the most important aspect of medicine.,Medical,Anesthesiology
"General Surgery is a medical discipline, which focuses on the treatment of diseases and disorders of the body.",Medical,General Surgery
"Nephrology is a field in medicine that deals with the management of kidney disease, and it is also concerned with the prevention of renal failure.",Medical,Nephrology
"Reproductive medicine is the study of reproduction, which relates to both conception and birth.",Medical,Reproductive Medicine
Neurology is an academic discipline in which the primary focus is on a variety of medical sciences.,Medical,Neurology
Radiology is the study of the body's natural ability to perform its function.,Medical,Radiology
"Orthopedics is the study of the skeletal system, or the physical structure of bones. It is a discipline of medicine that includes many types of exercise, such as walking, running, walking, and other sports. Orthopedics is related to other disciplines in medicine.",Medical,Orthopedics
Anesthesiology is the study of blood flow to a person's kidneys through a ureteric valve.,Medical,Anesthesiology
"Radiology in the Medical domain is a medical science that deals with the diagnosis, treatment and prevention of diseases and disorders.",Medical,Radiology
Nephrology - a branch of medicine that is concerned with the treatment and prevention of kidney failure.,Medical,Nephrology
Emergency medicine in the medical domain refers to:,Medical,Emergency Medicine
"Dermatology is the study of the skin, hair, and tissue of the human body, especially the skin.",Medical,Dermatology
Pediatrics in the Medical domain: Pediatrics is a subfield of medicine.,Medical,Pediatrics
"Reproductive Medicine is a sub-field of medicine, and has been used for centuries.",Medical,Reproductive Medicine
"General Surgery is the most widely used medical terminology, describing a surgical operation that is usually performed in a hospital setting. It has been referred to as the ""general surgery"" because it is a medical procedure that is performed when the patient is ill or injured.",Medical,General Surgery
"Orthopedics is the medical discipline of medicine which encompasses the disciplines of physiotherapy, physical therapy, phlebotomy, pathology, and physical therapy.",Medical,Orthopedics
The main component of reproductive medicine is the treatment of sexually transmitted diseases and their causes.,Medical,Reproductive Medicine
Radiology is a field in which medicine and science have been united in the past decade to deal with a wide variety of medical issues.,Medical,Radiology
Oncology in the Medical domain:,Medical,Oncology
"Anesthesiology in the Medical domain is the study of abnormal and vascular anesthetics, such as blood vessels, skin, skin or eyelids.",Medical,Anesthesiology
Hematology in the Medical domain is the study of hematology and immunology.,Medical,Hematology
Cardiology is the medical science of heart surgery.,Medical,Cardiology
Hematology is the study of the development and diagnosis of hepatocytes.,Medical,Hematology
Dermatology is a medical discipline that focuses on the study of skin and hair.,Medical,Dermatology
"Dermatology is the study of skin, hair, nails and other body parts.",Medical,Dermatology
Infectious diseases in the Medical domain are:,Medical,Infectious Diseases
Radiology is the study of the properties of radioactivity in medicine and the effect that radioactivity can have on health.,Medical,Radiology
Cardiology is the study of heart disease and related diseases.,Medical,Cardiology
"The term Hematology was first conceived in the 19th century, and has been used in medical fields since the 20th century.",Medical,Hematology
Reproductive medicine is a medical discipline that involves the study of reproduction and health.,Medical,Reproductive Medicine
"Pathology involves studying the biology of disease and pathogens, as well as investigating diseases of the body and tissue.",Medical,Pathology
General Surgery is a medical discipline.,Medical,General Surgery
Plastic Surgery in the Medical domain.,Medical,Plastic Surgery
"Nephrology is the scientific study of kidney disease in the medical domain, and is a highly important part of the medical field.",Medical,Nephrology
"Cardiology is the discipline of medicine, which mainly deals with cardiology. Cardiology can be defined as:",Medical,Cardiology
Pathology in the Medical domain is the study of pathological diseases and disorders of a body or organ.,Medical,Pathology
Hematology is the study of hematological disorders and abnormalities in the human body.,Medical,Hematology
A general surgery is the medical treatment of the gastrointestinal system and its related organs.,Medical,General Surgery
Hematology is the study of human organs and tissues that produce the chemical messengers of the immune system.,Medical,Hematology
Neurology in the Medical domain is the study of the function of neurons and their related structures.,Medical,Neurology
"The first and the most important bacterial diseases to be discovered in a bacterium infectious disease (E.D.) are ""atypical"" or ""infectious"", which are classified into three categories. Among them, ""St. Augustine's fever"", which is a highly contagious and debilitating condition, is one of the most common causes of fever. Despite the large number of infections reported worldwide, only two infections remain unresolved.",Medical,Infectious Diseases
Endocrinology in the Medical domain is the study of endocrinology.,Medical,Endocrinology
General surgery is a medical speciality in which surgery is performed on the abdomen and face for the purpose of surgical treatment of internal organs and diseases.,Medical,General Surgery
"Radiology in the Medical domain is a sub-field of medicine which has broad application in medicine, engineering and science.",Medical,Radiology
"Infectious diseases and disorders in medicine, from the laboratory to the medical field",Medical,Infectious Diseases
"The infectious disease endemic to arid regions in the Middle East and North Africa is also a very rare, largely pathogenic, highly contagious, highly contagious, highly contagious and highly infectious disease.",Medical,Infectious Diseases
Radiology is the study of a variety of medical topics.,Medical,Radiology
"Endocrinology is a field of medicine, where the role of endogenous metabolites is studied and their function in the organisms involved.",Medical,Endocrinology
Reproductive Medicine is the clinical treatment for human reproduction.,Medical,Reproductive Medicine
"The term neurology is used to describe a wide variety of neurological conditions including neurological disorders, brain disorders, pathological diseases and trauma.",Medical,Neurology
General Surgery is a discipline of medicine.,Medical,General Surgery
Orthopedics in the Medical domain:,Medical,Orthopedics
Pathology in the Medical domain is the study of pathology.,Medical,Pathology
Orthopedics is a medical discipline involving the practice of a particular type of limb.,Medical,Orthopedics
"Anesthesiology is the field of obstetrics and gynaecology. Anesthesiology encompasses odontology, surgery, surgery, medicine, medicine and pathology.",Medical,Anesthesiology
Reproductive medicine is a medical science specialized in the study of reproductive health.,Medical,Reproductive Medicine
"Plastic Surgery (and the other ) is a form of medical surgery involving the removal of a large amount of fat, such as fat, muscle and organs. It refers to the use of injections, cutting, and filling of fatty tissue in the body.",Medical,Plastic Surgery
"Dermatology is a discipline in dermatology which encompasses the diagnosis and treatment of diseases, diseases, infections, fungi, bacteria, and viruses.",Medical,Dermatology
Anesthesiology is the study of a human body which is primarily affected by an infection of the urinary tract or the urinary bladder.,Medical,Anesthesiology
Radiology is a field of medicine specializing in radiology.,Medical,Radiology
Hematology in the Medical domain:,Medical,Hematology
"Hematology is a field of medicine in which the diagnosis, treatment and prevention of diseases is central to the diagnosis of a disease.",Medical,Hematology
Reproductive Medicine is the medical profession whose mission is to improve sexual reproduction and health in a world that is becoming increasingly vulnerable to sexual harassment and abuse.,Medical,Reproductive Medicine
Anesthesiology is a branch of medicine in the medical field.,Medical,Anesthesiology
"Dermatology is the study of skin cells and their cellular division, including their differentiation.",Medical,Dermatology
"Endocrinology is the study of the development of endocrinogens in the human body. Endocrinogens are a component of the human immune system, a key immune response for disease.",Medical,Endocrinology
A physician who has completed a rotational training program is in the field of medicine.,Medical,Orthopedics
Plastic Surgery: An Advancing View,Medical,Plastic Surgery
"Neurology is an area of medicine encompassing neuropsychiatry, pathology, neurophysiology and pathology.",Medical,Neurology
"The Orthopedics profession is a field that includes the physical and occupational therapy (EMT), which is mainly applied to limb function and physiotherapy. Its primary focus is in rehabilitation.",Medical,Orthopedics
Orthopedics in the Medical domain is the practice of treating the bones and joints of people. It is also the practice of caring for the hands and feet of the person in need of care.,Medical,Orthopedics
General Surgery is the term used in medical practice.,Medical,General Surgery
Reproductive Medicine: The Role of the Yeast in the Production and Use of Food,Medical,Reproductive Medicine
Cardiology is the study of cardiovascular disease.,Medical,Cardiology
"Oncology in the Medical domain is a subset of medical science, which includes cancer research and medical education.",Medical,Oncology
Cardiology is the study of heart activity and is a broad medical discipline in a wide range of fields.,Medical,Cardiology
"Neurology is the study of neurological conditions and disorders that affect the nervous system, brain, spinal cord and nervous tissue.",Medical,Neurology
Nephrology is the study of kidney function.,Medical,Nephrology
"The Oncology in the Medical domain (OMM) is a subdiscipline of medicine devoted to the study of cancer. It was originally devoted to cancer prevention, treatment, and research.",Medical,Oncology
Infectious Diseases in the Medical domain is a sub-category of infectious diseases.,Medical,Infectious Diseases
Pathology is the study of pathogens and pathophysiology.,Medical,Pathology
Emergency medicine focuses on the prevention and treatment of emergencies.,Medical,Emergency Medicine
"Plastic surgery is a type of surgical procedure, usually used for the removal of body parts, muscle and tendons, primarily to remove skin.",Medical,Plastic Surgery
"Radiology is the study of the physical, chemical, or biological properties of substances.",Medical,Radiology
"Endocrinology is the study of the regulation of endocrinology by a number of different systems, including enzymes, proteins, and pathogenic agents.",Medical,Endocrinology
"The Medical and Surgical specialty of nephrology is a field that deals with the treatment of kidney diseases such as renal failure, renal fibrosis, renal failure, renal transplantation, and renal transplantation.",Medical,Nephrology
"Anesthesiology in the Medical domain is a field that encompasses medicine, pathophysiology, and surgery.",Medical,Anesthesiology
"Infectious Diseases in the Medical Domain The term infectious disease refers to a number of diseases that cause infection, usually by means of viruses or bacteria, to be infected.",Medical,Infectious Diseases
"In the medical domain, internal medicine covers the entire body, focusing on the body, and its organs, so that it has the ability to respond in an efficient manner to changes in the health and well-being of the human population.",Medical,Internal Medicine
"Orthopedics is a branch of medicine which encompasses the diagnosis, treatment and management of patients with orthopedic conditions.",Medical,Orthopedics
Orthopedics is a sub-field of medicine in the medical domain.,Medical,Orthopedics
A study of endocrinology in the medical domain,Medical,Endocrinology
Reproductive medicine is the science of utilizing reproductive medicine to enhance reproductive health.,Medical,Reproductive Medicine
Plastic Surgery is a medical subfield of surgery.,Medical,Plastic Surgery
Pathology is the science of identifying and diagnosing pathological diseases and their treatment.,Medical,Pathology
Anesthesiology is the study of the endocrine system and other organ systems.,Medical,Anesthesiology
"Neurology is a field in the medical field that encompasses neurology, psychoanalysis, and cognitive psychology.",Medical,Neurology
Endocrinology is a medical discipline which includes the study of endocrinology in the scientific field.,Medical,Endocrinology
Reproductive Medicine is the study of reproductive biology and medicine.,Medical,Reproductive Medicine
"Orthopedics is the broadest and most comprehensive sub-field of medicine, with a broad range of disciplines including medicine, surgery, and dentistry.",Medical,Orthopedics
Neurology is the study of the function and regulation of nerve cells in the nervous system.,Medical,Neurology
Endocrinology is a field of medicine that deals with identifying and treating a variety of pathological diseases.,Medical,Endocrinology
Plastic Surgery is the use of plastic surgery for cosmetic and reconstructive purposes.,Medical,Plastic Surgery
"Neurology is the study of nerve activity and how it influences our mental and physical well being. Neurology is a branch of medicine, encompassing neurology in the Medical domain. Neurology is not the only medical field which involves the underlying cause of neurological disorders.",Medical,Neurology
Endocrinology is the science of identifying and detecting the biological origin of an illness or disease.,Medical,Endocrinology
Pediatrics in the Medical domain.,Medical,Pediatrics
Pathology is a scientific discipline in the field of pathology.,Medical,Pathology
"Internal Medicine (Med) is the science of medicine that deals with the medical field, such as physiology, medicine, and pathology.",Medical,Internal Medicine
"This medical discipline is divided into three sub-specialties: internal medicine, a pharmacology, urology, and pathology.",Medical,Internal Medicine
Anesthesiology is the study of body and nephron's function in the human body.,Medical,Anesthesiology
Plastic Surgery is a practice in the medical field.,Medical,Plastic Surgery
Hematology is the study of the structure and function of cells in the human body.,Medical,Hematology
Neurology is the study of how neurogenetics may be altered by a neurotoxic environment or by neurological processes.,Medical,Neurology
Hematology is a branch of medicine in the Medical Science field that encompasses the areas of hematology and immunology.,Medical,Hematology
Radiology in the Medical domain:,Medical,Radiology
"Endocrinology is the study of a single cell whose endocrinogens, enzymes, and metabolism are all involved.",Medical,Endocrinology
Anesthesiology is the study of abnormal growth of the blood vessels in the gastrointestinal tract.,Medical,Anesthesiology
Cardiology is the study of the heart.,Medical,Cardiology
Reproductive medicine is a medical discipline in which the study of reproduction has been described as the elaboration of a medical concept. The focus of this academic work is the discovery of genetic disorders and their associated causes.,Medical,Reproductive Medicine
Emergency medicine is a discipline of medical science which covers the medical field of medicine and provides medical treatment for emergency medical situations.,Medical,Emergency Medicine
The term general surgery refers to any of the following kinds of medical treatment:,Medical,General Surgery
Pediatrics in the Medical domain is a branch of medicine that encompasses the science of pediatrics.,Medical,Pediatrics
"Anesthesiology is the study of disease and vascular diseases that result from a lack of adequate vascular supplies, such as blood or the urination of the vessels.",Medical,Anesthesiology
Emergency medicine is an area in the medical field encompassing all of the following modalities:,Medical,Emergency Medicine
"Nephrology in the Medical domain is the study of kidney disease, including renal failure.",Medical,Nephrology
"Nephrology is a subfield of medicine, concerned with repairing kidney failure.",Medical,Nephrology
Plastic Surgery is a medical discipline with an important focus on the development of the vascular system.,Medical,Plastic Surgery
Endocrinology in the Medical domain is a branch of medicine that studies and analyses endocrinology in the human body.,Medical,Endocrinology
Reproductive Medicine is the medical science of treating reproduction disorders and its underlying causes.,Medical,Reproductive Medicine
Neurology is the study of the nervous system.,Medical,Neurology
Radiology is a field of medicine that deals with the diagnosis and treatment of cancer. Radiology is the study of a disease or process that occurs over a long period of time.,Medical,Radiology
"Pediatrics in the Medical domain is the medical discipline that deals with the prevention, diagnosis, and treatment of diseases and disorders of the gastrointestinal system.",Medical,Pediatrics
General surgery is the study of the surgery that takes place in a particular organ or body system.,Medical,General Surgery
Plastic surgery is the operative procedure for treating the face and body.,Medical,Plastic Surgery
"Hematology is the study of the physical, chemical, and biological properties of a host cell.",Medical,Hematology
"Hematology in the Medical domain is the study of the cell or tissue of the human body that develops and maintains cell division, replication, growth, and differentiation.",Medical,Hematology
Dermatology is the study of how the skin and the body interact.,Medical,Dermatology
Plastic Surgery is the surgical treatment of severe plastic and reconstructive surgery.,Medical,Plastic Surgery
Cardiology is the study of cardiovascular disease.,Medical,Cardiology
Internal Medicine is a sub-field of medicine in the Medical domain.,Medical,Internal Medicine
"Pathology is the study of diseases and their causes, or physiology.",Medical,Pathology
"Orthopedics is a medical discipline which encompasses all aspects of a person's physical and mental health, including but not limited to, muscle function, strength, and strength.",Medical,Orthopedics
Reproductive Medicine in the Medical Domain: The science of reproductive medicine in the Medical domain.,Medical,Reproductive Medicine
Radiology is the study of radiology in the medical domain.,Medical,Radiology
"Orthopedics is a branch of medicine in which physical activity, particularly the performing of physical exercises, are part of the medical specialty.",Medical,Orthopedics
Oncology in the Medical domain: Oncology in the Medical domain:,Medical,Oncology
"Orthopedics in the Medical Domain is an academic discipline that is concerned with providing health services. Orthopedics in the Medical domain is also known as medicine, law, medicine, law, medicine, anthropology, and science.",Medical,Orthopedics
Plastic Surgery is a medical specialty in which a surgery is the act of incision or removal of skin from an organism.,Medical,Plastic Surgery
Pathology is a field that deals with pathology in the medical field.,Medical,Pathology
"Reproductive medicine is the study of reproduction and sexual reproduction, in both the human and animal kingdoms.",Medical,Reproductive Medicine
Pediatrics is the medical discipline in which a child has the ability to survive and thrive.,Medical,Pediatrics
Neurology in the Medical domain is a discipline in which science is concerned with the study of the human body.,Medical,Neurology
"Reproductive Medicine is a medical domain that encompasses all facets of reproductive health, including embryonic development, reproduction, and embryonic stem cell research.",Medical,Reproductive Medicine
"A Psychologist is a physicist who specializes in the diagnosis, treatment, and management of disorders in the brain and spinal cord.",Medical,Internal Medicine
Pathology is the study of pathology.,Medical,Pathology
"The term kidney nephrology refers to the treatment of kidney disease, an organ condition in which kidney cells are converted to urine and eventually into blood.",Medical,Nephrology
"General Surgery (disambiguation) is the term for surgery in general medicine, which is concerned with the operation of a medical system to fix a disease or problem.",Medical,General Surgery
Oncology is the scientific discipline of medicine. Its application is to diagnose and treat cancer.,Medical,Oncology
Plastic Surgery involves a procedure to remove an organ and/or tissue.,Medical,Plastic Surgery
Cardiology is a discipline in which cardiovascular disease is defined by the clinical application of heart and lung disease.,Medical,Cardiology
"Internal Medicine in the Medical domain is a subdiscipline of medicine that deals with the prevention, treatment, and management of disease.",Medical,Internal Medicine
"Anesthesiology is the study of the medical diagnosis and treatment of diseases, diseases, infections and disorders of the digestive system.",Medical,Anesthesiology
"Pathology is the study of pathological diseases in the medical field, which has a wide variety of different subdisciplines.",Medical,Pathology
"Endocrinology is the study of aging, cancer, and the emergence of endocrinology. Endocrinologists report the diagnosis of cancer, cancer, and the onset of endocrinology in the medical field.",Medical,Endocrinology
"Plastic Surgery is a medical discipline in which surgery is the operation of the body’s uppermost layers of skin, cartilage and organs.",Medical,Plastic Surgery
"Orthopedics refers to a wide variety of conditions, including the spine and bones, joint, and spinal joint.",Medical,Orthopedics
Endocrinology is the study of human metabolism and how it affects physiology and medical practice.,Medical,Endocrinology
Cardiology is an area of medicine that deals with heart failure and stroke.,Medical,Cardiology
Nephrology in the Medical domain.,Medical,Nephrology
"In the Medical domain, Internal Medicine refers to:",Medical,Internal Medicine
"The term cardiology is defined as the medical profession in which a person, a patient or a medical group performs operations, control a body or organ, and or operates an organ, organ, or part of a system, or part of a system.",Medical,Cardiology
Dermatology is the science of treating skin diseases and is also a broad discipline in medicine.,Medical,Dermatology
"In the medical domain, Internal Medicine is the discipline that deals with the management of illness and disease.",Medical,Internal Medicine
Internal Medicine is a medical discipline in which the function of internal organs (organs and tissues) is concerned.,Medical,Internal Medicine
The neurosciences of neuroscience.,Medical,Neurology
"Neurology is the study of mental disorders, which are usually diagnosed by an expert.",Medical,Neurology
Hematology in the Medical domain is the study of organ and tissue abnormalities in blood.,Medical,Hematology
"Plastic Surgery is a medical procedure used for the surgery of a single face, often to cover a face.",Medical,Plastic Surgery
"Endocrinology in the Medical domain is an academic and theoretical field which is concerned with a wide variety of subjects including biochemistry, biology, biophysics, psychology, epidemiology, biotechnology, neuroscience, and genetics.",Medical,Endocrinology
"Hematology is the study of disease in human beings, particularly human hematopaths and human diseases.",Medical,Hematology
"Despite the low number of infections worldwide, the incidence of infectious diseases has soared rapidly.",Medical,Infectious Diseases
Nephrology is the treatment of nephropathy.,Medical,Nephrology
Medical emergency medicine is the treatment of emergency medical emergencies.,Medical,Emergency Medicine
General surgery is the operation of the operation of a medical system that provides surgical services for the human body.,Medical,General Surgery
Oncology is an academic discipline specialized in the diagnosis and treatment of cancer.,Medical,Oncology
Reproductive Medicine is the medical domain of medicine.,Medical,Reproductive Medicine
Nephrology is a medical specialty that specializes in kidney disease and renal function.,Medical,Nephrology
Cardiology in the Medical domain refers to the study of cardiovascular diseases.,Medical,Cardiology
Anesthesiology is the study of abnormal blood clots and the regulation of abnormal blood flow to organs.,Medical,Anesthesiology
Neurology is the study of neuronal systems and their function in the human body.,Medical,Neurology
"Cardiology is the study of cardiovascular systems, especially those with a central nervous system, and the heart.",Medical,Cardiology
"Orthopedics in the Medical domain is a sub-field of medicine that focuses on sports medicine, including exercise, physiotherapy, medicine, and biomedicine.",Medical,Orthopedics
"Dermatology is the study of the skin, esophagus and gastrointestinal tract.",Medical,Dermatology
"Dermatology is the study of the cellular and abiotic processes of the skin and hair. Dermatology covers many areas including cutaneous, inflammatory, and inflammatory.",Medical,Dermatology
Neurology in the Medical domain:,Medical,Neurology
"This term was originally used to refer to an era in physics, in which the theory of quantum gravity and its relation with the Universe were used to describe the laws and theories of the universe.",Medical,Oncology
"Pediatrics is a medical discipline focusing on the diagnosis, treatment, and prevention of diseases.",Medical,Pediatrics
Radiology is the study of radiation that comes into contact with a surface of a body.,Medical,Radiology
Dermatology is a medical field that deals with the study of human skin.,Medical,Dermatology
Nephrology is an area of medicine in which most medicines are not approved.,Medical,Nephrology
Nephrology is a branch of medicine that encompasses the whole spectrum of kidney diseases and their treatment and prevention.,Medical,Nephrology
"Pediatrics is a broad discipline of medicine that includes pediatrics, psychiatry, nursing, and pharmacology.",Medical,Pediatrics
Orthopedics is the medical specialty of physical therapy.,Medical,Orthopedics
"Emergency medicine is a subfield of medical science that includes psychiatry, surgery, pharmacology, biochemistry, biophysics, and neurosciences.",Medical,Emergency Medicine
Reproductive Medicine in the Medical domain is the academic discipline of reproductive medicine.,Medical,Reproductive Medicine
"Dermatology is the study of human skin, hair and glands, the skin itself, and its cells and tissues. Dermatologists have a long history of presenting new diseases and conditions, and having a major role in prevention, treatment and treatment of these diseases.",Medical,Dermatology
Radiology is the study of how the body responds to radiation. It is the primary focus of the medical and surgical field.,Medical,Radiology
Cardiology is the study of the heart.,Medical,Cardiology
Reproductive Medicine in the Medical domain.,Medical,Reproductive Medicine
"Infectious diseases are a medical domain that covers many different diseases and conditions. Infectious diseases include viruses, pathogens, bacteria, fungi, bacteria, pathogens and diseases of the human body.",Medical,Infectious Diseases
Pathology is the science of medical pathology.,Medical,Pathology
Radiology is the science of interpreting images.,Medical,Radiology
Pathology is a discipline in medicine that deals with pathological disorders and illnesses.,Medical,Pathology
"Dermatology is the study of the skin, hair, nails, skin and the blood.",Medical,Dermatology
Emergency medicine is the study of how to respond to an emergency.,Medical,Emergency Medicine
Endocrinology is a science of medicine that studies the life cycle of endocrinogens.,Medical,Endocrinology
"Cardiology is a medical discipline, largely based on the theory and practice of heart disease and related diseases.",Medical,Cardiology
"Pediatrics in the Medical domain is a medical discipline whose primary focus is the prevention, treatment, diagnosis and prevention of disease.",Medical,Pediatrics
Oncology is a medical discipline that focuses on the study of a patient's cancer and the treatment of it.,Medical,Oncology
"Orthopedics is a field of medicine that deals with the treatment of diseases, illnesses, and injuries.",Medical,Orthopedics
Infectious Diseases is the discipline of medicine based on a wide range of infectious diseases and illnesses.,Medical,Infectious Diseases
"Neurology in the Medical domain is a branch of medicine which includes neuropathology, neuropsychology, psychology, and neuroscience.",Medical,Neurology
Endocrinology is a branch of medicine that has focused on the treatment of diseases.,Medical,Endocrinology
"Infectious diseases in the medical domain, or simply the term infectious disease.",Medical,Infectious Diseases
Anesthesiology is the study of the treatment of edema.,Medical,Anesthesiology
